ID,Story,FacScoresQ,FacScoresO,Dataset,ProblemID,set,ID.1,wordcount,peerDSI,promptDSI,DSI,promptCosDis,peerCosDis,QuartilesO,prediction
1,She could leave an anonymous note for the manager saying one of the employees was stealing.,-1.411283851,0.313362334,RLPS1,Becky,training,201,16,0.820008873939514,0.817522585391998,0.767785549163818,0.5752828121185303,0.4832866787910461,2,2.9193939402128173
2,I think Becky should tell Jim that what he done is wrong and he should be the one who tell Mark about all the stealing pizza.,-1.411283851,-0.596276243,RLPS1,Becky,training,269,26,0.820881068706513,0.828041136264801,0.806004405021668,0.7114741802215576,0.2847027480602264,1,1.8361375012479746
3,"To begin I think that it is great that Becky has not continued to shoplift and is trying to get her life going in the right direction. In my life one of the quotes that I go by is ""watch the company that you keep"" I go by this because the people that you urround yourself with will be the people that you begin to look to for such things as advice and comfort. If those people are not heading in the same direction as you are with your life then it could become a burden on your life and start to hold you backfrom your goals. Becky's first problem is associating herself with someone who is continuously making the same mistake that she made by shoplifting. One solution that could work would be for Becky to sit down with Jim and rationally explain to him that wht he is doing is wrong and is not only hurting the store but in the long run could really hurt him, even if he thinks that he will never get caught. The manager of the Pizzeria has to know that Becky and Jim live together and since Becky already has a pas with shoplifting her manager will automatically connect her with the missing pizzas. If talking to Jim about it does not work then the next best thing to do in my opinion would be to either go to the manager and just let him know that you have been noticng that the stock for the pizzas has been decreasing and your not sure where the stock has been going to, so then the manager can look into it. Bringing it to his attention would clear up your name because you were honest. Or another thing you could do wold be to notify the manager that you do know for sure someone has been stealing pizzas but you do not know who it is, that way the manager can address the issue to the whole staff, leave the fact that you informed him out of it and then hopefully that woud give Jim a good enough reason to stop.",3.9719467,1.033758724,RLPS1,Becky,training,237,358,0.829453647136688,0.835089445114136,0.829131186008453,0.7523924112319946,0.3934374153614044,3,2.9014391824590313
4,Becky should talk to Jim about the choices he has been making and let me know what he should be doing instead because if someone else sees him doing the wrong things he may get hired. Becky could also give Mark a heads up and tell him to watch Jim while tey are working and see if Mark sees anything wrong with Jim.,1.165037939,0.054535079,RLPS1,Becky,training,47,63,0.819823086261749,0.826622009277344,0.811605274677277,0.732802152633667,0.2465731501579284,2,1.6069485937764674
5,"Becky should start by talking to Jim about this problem, and tell him that if he does not stop doing what he is doing she will have to report him.  He may be a good friend to Becky but if its found out that she knew about his behavior and did nothing it culd be her job that she loses.",0.107464015,-0.484258882,RLPS1,Becky,training,222,60,0.807595729827881,0.814710319042206,0.788266062736511,0.7118300795555115,0.2662536203861236,1,1.926848956610892
6,"Becky needs to tell her manager the situation.  It is really important that she tells him because she doesn't want to get in trouble again for stealing pizzas!  Even though she is afraid of losing her friendship, she will be much better off if she tells te truth. In the long run, it is the right thing for her to do!",-1.411283851,-0.743086137,RLPS1,Becky,training,196,62,0.810940265655518,0.813742339611054,0.78876256942749,0.59861820936203,0.3758859634399414,0,1.8439096575765999
7,"If Becky truely does not want to get Jim in trouble, but feels obligated to say something, she should talk to Jim about his actions. Becky could advise Jim to stop stealing from their job and change his attitude or she could encourage Jim to self report hmself. If Jim continues his bad behaviors, and she still feels it's her responsiblity to inform Mark, she can turn Jim in.",-0.353709927,-0.484258882,RLPS1,Becky,training,25,70,0.822690963745117,0.827899396419525,0.815906584262848,0.766399621963501,0.2590382099151611,1,1.9837444066960535
8,"Sucks to be Becky. 
Since Becky values their friendship, she should approach her friend (wow can't believe I forgot his name already)and talk to him privately about his stealing from the pizzeria. If whatshisname values their friendship also, he will sto stealing because he knows how important this job is to Becky. If he does not, than that tells Becky what kind of friend he really is, so she shouldn't feel too bad to talk to the manager.",1.39562491,-0.484258882,RLPS1,Becky,training,150,81,0.826211988925934,0.828549444675446,0.820103168487549,0.6768040060997009,0.3605555593967438,1,1.9994423220117705
9,"Solution- A situation like this would be very hard on any one, Becky needs to look back on her life and reflect on where she is coming from and make the right decision of informing Mark about what's going on with Jim. However Mark decides to deal with it s not her concern. If Jim is not able to pay his rent thats not her business either. As a friend, as harsh as it may seem Becky would be doing the right thing. Jim would be able to learn from his mistakes if things turn out badly, where as he lost his jobor home or even both and understand that he was wrong and move on from that aspect of his life. Time is key in this situation because only time would help Jim and Becky's friendship if it goes downhill. Time, in order for him to understand. By helping heremployer's business, if Jim cant pay his part of the rent after, maybe Mark would be more generous in helping Becky out after such an ordeal.",1.39562491,-0.596276243,RLPS1,Becky,training,335,179,0.824860692024231,0.830836892127991,0.821846067905426,0.6699676513671875,0.3268182575702667,1,1.595574162742742
10,"I would first talk to Jim about the problem. I would tell him that I am aware of all of the food stealing he has done and that I don't think it is right especially because we have such a great boss. I would tell him that I won't tell Mark about this time ut if I ever see or hear about Jim doing this again, then Mark will be notified.",-0.123122956,-0.484258882,RLPS1,Becky,training,226,73,0.820462703704834,0.8300621509552,0.802758634090424,0.6741969585418701,0.3639897108078003,1,2.2586103911557163
